Match ID,Team 1,Team 2,Team A,Team B,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker,Chronology,Side Picker Encoded,Positive Outcome,Map Name_Abyss,Map Name_Ascent,Map Name_Bind,Map Name_Breeze,Map Name_Fracture,Map Name_Haven,Map Name_Icebox,Map Name_Lotus,Map Name_Pearl,Map Name_Split,Map Name_Sunset,Side Picked_Attack,Side Picked_Defense,Patch_1,Patch_2,Patch_3,Patch_4,Patch_5
1,KOI,NRG Esports,NRG Esports,KOI,11,13,9,2,0,10,3,0,1,KOI,0,NRG Esports,-2,24,NRG Esports,1,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
1,KOI,NRG Esports,NRG Esports,KOI,9,13,5,4,0,8,5,0,2,NRG Esports,0,NRG Esports,-4,22,KOI,1,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
2,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,4,13,4,0,0,5,8,0,1,GIANTX,0,GIANTX,-9,17,DetonatioN FocusMe,2,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
2,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,7,13,3,4,0,8,5,0,2,DetonatioN FocusMe,0,GIANTX,-6,20,GIANTX,2,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,6,13,4,2,0,5,8,0,1,Karmine Corp,0,Karmine Corp,-7,19,FunPlus Phoenix,3,1,1,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,13,8,7,6,0,6,2,0,2,FunPlus Phoenix,0,FunPlus Phoenix,5,21,Karmine Corp,3,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,6,13,1,5,0,7,6,0,3,FunPlus Phoenix,0,Karmine Corp,-7,19,,3,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
4,BBL Esports,DRX,DRX,BBL Esports,3,13,0,3,0,9,4,0,1,BBL Esports,0,DRX,-10,16,DRX,4,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
4,BBL Esports,DRX,DRX,BBL Esports,13,11,4,9,0,3,8,0,2,DRX,0,BBL Esports,2,24,BBL Esports,4,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
4,BBL Esports,DRX,DRX,BBL Esports,7,13,6,1,0,11,2,0,3,DRX,0,DRX,-6,20,,4,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
5,Cloud9,Paper Rex,Paper Rex,Cloud9,13,8,6,7,0,5,3,0,1,Cloud9,0,Cloud9,5,21,Paper Rex,5,0,1,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
5,Cloud9,Paper Rex,Paper Rex,Cloud9,13,4,10,3,0,2,2,0,2,Paper Rex,0,Cloud9,9,17,Cloud9,5,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
6,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,8,13,2,6,0,6,7,0,1,Team Heretics,0,Evil Geniuses,-5,21,Evil Geniuses,6,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
6,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,8,13,5,3,0,6,7,0,2,Evil Geniuses,0,Evil Geniuses,-5,21,Team Heretics,6,1,1,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
7,MIBR,TALON,MIBR,TALON,8,13,4,4,0,5,8,0,1,TALON,0,TALON,-5,21,MIBR,7,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
7,MIBR,TALON,MIBR,TALON,11,13,5,6,0,6,7,0,2,MIBR,0,TALON,-2,24,TALON,7,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
8,Gen.G,LOUD,LOUD,Gen.G,9,13,7,2,0,8,5,0,1,Gen.G,0,LOUD,-4,22,LOUD,8,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
8,Gen.G,LOUD,LOUD,Gen.G,12,14,8,4,0,8,4,2,2,LOUD,1,LOUD,-2,26,Gen.G,8,1,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
9,NRG Esports,GIANTX,NRG Esports,GIANTX,13,7,4,9,0,3,4,0,3,NRG Esports,0,NRG Esports,6,20,,9,0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
9,NRG Esports,GIANTX,NRG Esports,GIANTX,13,1,11,2,0,0,1,0,2,NRG Esports,0,NRG Esports,12,14,GIANTX,9,0,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
9,NRG Esports,GIANTX,NRG Esports,GIANTX,12,14,8,4,0,8,4,2,1,GIANTX,1,GIANTX,-2,26,NRG Esports,9,1,1,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
10,LOUD,Karmine Corp,LOUD,Karmine Corp,13,10,8,5,0,6,4,0,1,Karmine Corp,0,LOUD,3,23,LOUD,10,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
10,LOUD,Karmine Corp,LOUD,Karmine Corp,13,8,8,5,0,4,4,0,2,LOUD,0,LOUD,5,21,Karmine Corp,10,0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
