Match_ID,Event,Year,Date,Team 1,Team 2,Match Format,Maps Picked/Banned,Score per Map,Score per Half,Sides Chosen by Non-Picker
1,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-13 12:10:00,KOI,NRG Esports,Bo3,NRG ban Ascent; KOI ban Split; NRG pick Icebox; KOI pick Haven; NRG ban Fracture; KOI ban Lotus; Pearl remains,Icebox: 11-13; Haven: 9-13,"Team 1: 9 / 2, Team 2: 3 / 10; Team 1: 5 / 4, Team 2: 5 / 8",Team 1: Attack; Team 2: Attack
2,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-13 15:05:00,DetonatioN FocusMe,GIANTX,Bo3,DFM ban Split; GIA ban Fracture; DFM pick Haven; GIA pick Icebox; DFM ban Lotus; GIA ban Ascent; Pearl remains,Haven: 4-13; Icebox: 7-13,"Team 1: 4 / 0, Team 2: 8 / 5; Team 1: 3 / 4, Team 2: 5 / 8",Team 2: Defense; Team 1: Defense
3,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-14 12:10:00,FunPlus Phoenix,Karmine Corp,Bo3,FPX ban Icebox; KC ban Ascent; FPX pick Lotus; KC pick Haven; FPX ban Split; KC ban Fracture; Pearl remains,Lotus: 6-13; Haven: 13-8; Pearl: 6-13,"Team 1: 4 / 2, Team 2: 8 / 5; Team 1: 7 / 6, Team 2: 2 / 6; Team 1: 1 / 5, Team 2: 6 / 7",Team 2: Defense; Team 1: Defense
4,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-14 15:45:00,BBL Esports,DRX,Bo3,DRX ban Lotus; BBL ban Fracture; DRX pick Pearl; BBL pick Ascent; DRX ban Split; BBL ban Icebox; Haven remains,Pearl: 3-13; Ascent: 13-11; Haven: 7-13,"Team 1: 0 / 3, Team 2: 4 / 9; Team 1: 4 / 9, Team 2: 8 / 3; Team 1: 6 / 1, Team 2: 2 / 11",Team 1: Defense; Team 2: Defense
5,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-14 19:05:00,Cloud9,Paper Rex,Bo3,PRX ban Icebox; C9 ban Ascent; PRX pick Lotus; C9 pick Pearl; PRX ban Split; C9 ban Haven; Fracture remains,Lotus: 13-8; Pearl: 13-4,"Team 1: 6 / 7, Team 2: 3 / 5; Team 1: 10 / 3, Team 2: 2 / 2",Team 1: Defense; Team 2: Defense
6,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-15 12:00:00,Team Heretics,Evil Geniuses,Bo3,EG ban Lotus; TH ban Icebox; EG pick Pearl; TH pick Ascent; EG ban Fracture; TH ban Split; Haven remains,Pearl: 8-13; Ascent: 8-13,"Team 1: 2 / 6, Team 2: 7 / 6; Team 1: 5 / 3, Team 2: 7 / 6",Team 1: Defense; Team 2: Defense
7,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-15 14:35:00,MIBR,Talon Esports,Bo3,MIBR ban Ascent; TLN ban Lotus; MIBR pick Haven; TLN pick Fracture; MIBR ban Split; TLN ban Pearl; Icebox remains,Haven: 8-13; Fracture: 11-13,"Team 1: 4 / 4, Team 2: 8 / 5; Team 1: 5 / 6, Team 2: 7 / 6",Team 2: Defense; Team 1: Attack
8,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-15 17:20:00,Gen.G,LOUD,Bo3,LOUD ban Haven; GEN ban Icebox; LOUD pick Pearl; GEN pick Fracture; LOUD ban Lotus; GEN ban Ascent; Split remains,Pearl: 9-13; Fracture: 12-14,"Team 1: 7 / 2, Team 2: 5 / 8; Team 1: 8 / 4 / 0, Team 2: 4 / 8 / 2",Team 1: Attack; Team 2: Attack
9,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-17 12:05:00,NRG Esports,GIANTX,Bo3,NRG ban Ascent; GIA ban Fracture; NRG pick Lotus; GIA pick Haven; NRG ban Pearl; GIA ban Split; Icebox remains,Lotus: 12-14; Haven: 13-1; Icebox: 13-7,"Team 1: 8 / 4 / 0, Team 2: 4 / 8 / 2; Team 1: 11 / 2, Team 2: 1 / 0; Team 1: 4 / 9, Team 2: 4 / 3",Team 2: Attack; Team 1: Attack
10,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-17 15:35:00,LOUD,Karmine Corp,Bo3,LOUD ban Icebox; KC ban Ascent; LOUD pick Pearl; KC pick Split; LOUD ban Lotus; KC ban Haven; Fracture remains,Pearl: 13-10; Split: 13-8,"Team 1: 8 / 5, Team 2: 4 / 6; Team 1: 8 / 5, Team 2: 4 / 4",Team 2: Defense; Team 1: Attack
11,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-18 12:05:00,DRX,Cloud9,Bo3,C9 ban Fracture; DRX ban Lotus; C9 pick Pearl; DRX pick Haven; C9 ban Ascent; DRX ban Split; Icebox remains,Pearl: 3-13; Haven: 13-7; Icebox: 13-2,"Team 1: 3 / 0, Team 2: 9 / 4; Team 1: 9 / 4, Team 2: 3 / 4; Team 1: 11 / 2, Team 2: 1 / 1",Team 1: Attack; Team 2: Defense
12,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-18 15:00:00,Evil Geniuses,Talon Esports,Bo3,EG ban Lotus; TLN ban Pearl; EG pick Haven; TLN pick Split; EG ban Ascent; TLN ban Fracture; Icebox remains,Haven: 11-13; Split: 10-13,"Team 1: 2 / 9, Team 2: 10 / 3; Team 1: 2 / 8, Team 2: 9 / 4",Team 2: Attack; Team 1: Defense
13,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-19 12:05:00,NRG Esports,LOUD,Bo3,NRG ban Ascent; LOUD ban Haven; NRG pick Split; LOUD pick Pearl; NRG ban Icebox; LOUD ban Lotus; Fracture remains,Split: 3-13; Pearl: 15-13; Fracture: 16-18,"Team 1: 0 / 3, Team 2: 4 / 9; Team 1: 7 / 5 / 3, Team 2: 5 / 7 / 1; Team 1: 7 / 5 / 4, Team 2: 5 / 7 / 6",Team 2: Attack; Team 1: Attack
