Match ID,Date,Team 1,Team 2,Map Name,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference
1,2024-02-16 17:00:00,NRG Esports,FURIA,Breeze,5,8,4,6,False,3
1,2024-02-16 17:00:00,NRG Esports,FURIA,Ascent,6,7,2,6,False,5
2,2024-02-16 20:00:00,Cloud9,MIBR,Bind,8,5,7,4,False,2
2,2024-02-16 20:00:00,Cloud9,MIBR,Split,2,6,6,7,False,-5
2,2024-02-16 20:00:00,Cloud9,MIBR,Lotus,5,8,3,7,False,3
3,2024-02-17 17:00:00,LOUD,Sentinels,Split,4,9,3,8,False,2
3,2024-02-17 17:00:00,LOUD,Sentinels,Ascent,5,8,2,7,False,4
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Bind,7,6,4,5,False,4
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Split,3,0,4,9,False,-10
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Icebox,6,7,5,6,False,2
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Icebox,7,6,6,3,False,4
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Sunset,6,3,7,6,False,-4
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Ascent,7,4,8,5,False,-2
6,2024-02-19 17:00:00,FURIA,MIBR,Split,7,2,8,5,False,-4
6,2024-02-19 17:00:00,FURIA,MIBR,Breeze,3,8,4,9,False,-2
7,2024-02-19 19:45:00,Sentinels,100 Thieves,Lotus,9,4,2,3,False,8
7,2024-02-19 19:45:00,Sentinels,100 Thieves,Bind,2,4,8,5,False,-7
7,2024-02-19 19:45:00,Sentinels,100 Thieves,Split,7,6,3,5,False,5
8,2024-02-23 17:00:00,NRG Esports,Cloud9,Sunset,5,8,4,3,False,6
8,2024-02-23 17:00:00,NRG Esports,Cloud9,Ascent,5,7,5,7,True,2
9,2024-02-23 19:25:00,LOUD,LEVIATÁN,Bind,8,3,9,4,False,-2
9,2024-02-23 19:25:00,LOUD,LEVIATÁN,Split,7,6,6,4,False,3
9,2024-02-23 19:25:00,LOUD,LEVIATÁN,Ascent,9,4,4,3,False,6
10,2024-02-24 17:00:00,G2 Esports,Evil Geniuses,Sunset,8,4,8,4,True,-2
10,2024-02-24 17:00:00,G2 Esports,Evil Geniuses,Icebox,5,6,6,7,False,-2
11,2024-02-25 15:00:00,Cloud9,MIBR,Bind,7,5,7,5,True,-2
11,2024-02-25 15:00:00,Cloud9,MIBR,Ascent,4,5,7,6,False,-4
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Split,3,0,4,9,False,-10
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Breeze,9,4,3,3,False,7
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Bind,3,6,6,7,False,-4
13,2024-02-25 20:55:00,G2 Esports,KRÜ Esports,Split,6,7,5,3,False,5
13,2024-02-25 20:55:00,G2 Esports,KRÜ Esports,Sunset,8,5,7,1,False,5
14,2024-02-26 15:00:00,MIBR,Sentinels,Split,2,5,3,10,False,-6
14,2024-02-26 15:00:00,MIBR,Sentinels,Ascent,5,1,6,7,False,-7
15,2024-02-26 17:10:00,G2 Esports,MIBR,Sunset,3,6,6,7,False,-4
15,2024-02-26 17:10:00,G2 Esports,MIBR,Split,7,5,7,5,True,2
15,2024-02-26 17:10:00,G2 Esports,MIBR,Breeze,4,6,6,7,False,-3
