Match ID,Date,Team 1_0,Team 1_1,Team 1_2,Team 1_3,Team 1_4,Team 1_5,Team 2_0,Team 2_1,Team 2_2,Team 2_3,Team 2_4,Team 2_5,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference,Map_Abyss,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset
1,2024-02-16 17:00:00,0,0,0,0,0,1,0,0,0,0,0,1,5,8,4,6,0,3,False,False,False,True,False,False,False,False,False
1,2024-02-16 17:00:00,0,0,0,0,0,1,0,0,0,0,0,1,6,7,2,6,0,5,False,True,False,False,False,False,False,False,False
2,2024-02-16 20:00:00,0,0,0,0,1,0,0,0,0,0,1,0,8,5,7,4,0,2,False,False,True,False,False,False,False,False,False
2,2024-02-16 20:00:00,0,0,0,0,1,0,0,0,0,0,1,0,2,6,6,7,0,-5,False,False,False,False,False,False,False,True,False
2,2024-02-16 20:00:00,0,0,0,0,1,0,0,0,0,0,1,0,5,8,3,7,0,3,False,False,False,False,False,False,True,False,False
3,2024-02-17 17:00:00,0,0,0,0,1,1,0,0,0,0,1,1,4,9,3,8,0,2,False,False,False,False,False,False,False,True,False
3,2024-02-17 17:00:00,0,0,0,0,1,1,0,0,0,0,1,1,5,8,2,7,0,4,False,True,False,False,False,False,False,False,False
4,2024-02-17 19:35:00,0,0,0,1,0,0,0,0,0,1,0,0,7,6,4,5,0,4,False,False,True,False,False,False,False,False,False
4,2024-02-17 19:35:00,0,0,0,1,0,0,0,0,0,1,0,0,3,0,4,9,0,-10,False,False,False,False,False,False,False,True,False
4,2024-02-17 19:35:00,0,0,0,1,0,0,0,0,0,1,0,0,6,7,5,6,0,2,False,False,False,False,False,True,False,False,False
5,2024-02-18 17:00:00,0,0,0,1,0,1,0,0,0,1,0,1,7,6,6,3,0,4,False,False,False,False,False,True,False,False,False
5,2024-02-18 17:00:00,0,0,0,1,0,1,0,0,0,1,0,1,6,3,7,6,0,-4,False,False,False,False,False,False,False,False,True
5,2024-02-18 17:00:00,0,0,0,1,0,1,0,0,0,1,0,1,7,4,8,5,0,-2,False,True,False,False,False,False,False,False,False
6,2024-02-19 17:00:00,0,0,0,1,1,0,0,0,0,0,1,0,7,2,8,5,0,-4,False,False,False,False,False,False,False,True,False
6,2024-02-19 17:00:00,0,0,0,1,1,0,0,0,0,0,1,0,3,8,4,9,0,-2,False,False,False,True,False,False,False,False,False
7,2024-02-19 19:45:00,0,0,0,1,1,1,0,0,0,1,0,0,9,4,2,3,0,8,False,False,False,False,False,False,True,False,False
7,2024-02-19 19:45:00,0,0,0,1,1,1,0,0,0,1,0,0,2,4,8,5,0,-7,False,False,True,False,False,False,False,False,False
7,2024-02-19 19:45:00,0,0,0,1,1,1,0,0,0,1,0,0,7,6,3,5,0,5,False,False,False,False,False,False,False,True,False
8,2024-02-23 17:00:00,0,0,0,0,0,1,0,0,0,1,1,0,5,8,4,3,0,6,False,False,False,False,False,False,False,False,True
8,2024-02-23 17:00:00,0,0,0,0,0,1,0,0,0,1,1,0,5,7,5,7,1,2,False,True,False,False,False,False,False,False,False
9,2024-02-23 19:25:00,0,0,0,0,1,1,0,0,0,1,1,1,8,3,9,4,0,-2,False,False,True,False,False,False,False,False,False
9,2024-02-23 19:25:00,0,0,0,0,1,1,0,0,0,1,1,1,7,6,6,4,0,3,False,False,False,False,False,False,False,True,False
9,2024-02-23 19:25:00,0,0,0,0,1,1,0,0,0,1,1,1,9,4,4,3,0,6,False,True,False,False,False,False,False,False,False
10,2024-02-24 17:00:00,0,0,1,0,0,0,0,0,1,0,0,0,8,4,8,4,1,-2,False,False,False,False,False,False,False,False,True
10,2024-02-24 17:00:00,0,0,1,0,0,0,0,0,1,0,0,0,5,6,6,7,0,-2,False,False,False,False,False,True,False,False,False
11,2024-02-25 15:00:00,0,0,0,0,1,0,0,0,0,0,1,0,7,5,7,5,1,-2,False,False,True,False,False,False,False,False,False
11,2024-02-25 15:00:00,0,0,0,0,1,0,0,0,0,0,1,0,4,5,7,6,0,-4,False,True,False,False,False,False,False,False,False
12,2024-02-25 17:40:00,0,0,0,1,0,0,0,0,0,0,1,1,3,0,4,9,0,-10,False,False,False,False,False,False,False,True,False
12,2024-02-25 17:40:00,0,0,0,1,0,0,0,0,0,0,1,1,9,4,3,3,0,7,False,False,False,True,False,False,False,False,False
12,2024-02-25 17:40:00,0,0,0,1,0,0,0,0,0,0,1,1,3,6,6,7,0,-4,False,False,True,False,False,False,False,False,False
