Match ID,Date,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset,Team 1_0,Team 1_1,Team 1_2,Team 1_3,Team 1_4,Team 1_5,Team 2_0,Team 2_1,Team 2_2,Team 2_3,Team 2_4,Team 2_5,Map Name,Team 1,Team 2,Team 1 Recent Form,Team 2 Recent Form,Team 1 Win Rate,Team 2 Win Rate,pick_team_1,pick_team_2,remaining_map
1,2024-02-16 17:00:00,5,8,4,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Breeze,NRG Esports,FURIA,0.0,0.0,0.5,0.5,0,1,0
1,2024-02-16 17:00:00,6,7,2,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Ascent,NRG Esports,FURIA,0.0,0.0,0.5,0.5,1,0,0
2,2024-02-16 20:00:00,8,5,7,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Bind,Cloud9,MIBR,0.0,0.0,0.5,0.5,1,0,0
2,2024-02-16 20:00:00,2,6,6,7,0,-5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Split,Cloud9,MIBR,0.0,0.0,0.5,0.5,0,1,0
2,2024-02-16 20:00:00,5,8,3,7,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Lotus,Cloud9,MIBR,0.0,0.0,0.5,0.5,0,0,1
3,2024-02-17 17:00:00,4,9,3,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,Split,LOUD,Sentinels,0.0,0.0,0.5,0.5,0,1,0
3,2024-02-17 17:00:00,5,8,2,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,Ascent,LOUD,Sentinels,0.0,0.0,0.5,0.5,1,0,0
4,2024-02-17 19:35:00,7,6,4,5,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Bind,LEVIATÁN,100 Thieves,0.0,0.0,0.5,0.5,0,1,0
4,2024-02-17 19:35:00,3,0,4,9,0,-10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Split,LEVIATÁN,100 Thieves,0.0,0.0,0.5,0.5,1,0,0
4,2024-02-17 19:35:00,6,7,5,6,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Icebox,LEVIATÁN,100 Thieves,0.0,0.0,0.5,0.5,0,0,1
5,2024-02-18 17:00:00,7,6,6,3,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,Icebox,KRÜ Esports,G2 Esports,0.0,0.0,0.5,0.5,0,1,0
5,2024-02-18 17:00:00,6,3,7,6,0,-4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,Sunset,KRÜ Esports,G2 Esports,0.0,0.0,0.5,0.5,1,0,0
5,2024-02-18 17:00:00,7,4,8,5,0,-2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,Ascent,KRÜ Esports,G2 Esports,0.0,0.0,0.5,0.5,0,0,1
6,2024-02-19 17:00:00,7,2,8,5,0,-4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,Split,FURIA,MIBR,-4.0,0.0,0.0,0.3333333333333333,0,1,0
6,2024-02-19 17:00:00,3,8,4,9,0,-2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Breeze,FURIA,MIBR,-4.0,0.0,0.0,0.3333333333333333,1,0,0
7,2024-02-19 19:45:00,9,4,2,3,0,8,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,Lotus,Sentinels,100 Thieves,-3.0,1.3333333333333333,0.0,0.3333333333333333,0,1,0
7,2024-02-19 19:45:00,2,4,8,5,0,-7,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,Bind,Sentinels,100 Thieves,-3.0,1.3333333333333333,0.0,0.3333333333333333,1,0,0
7,2024-02-19 19:45:00,7,6,3,5,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,Split,Sentinels,100 Thieves,-3.0,1.3333333333333333,0.0,0.3333333333333333,0,0,1
8,2024-02-23 17:00:00,5,8,4,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,Sunset,NRG Esports,Cloud9,4.0,0.0,1.0,0.6666666666666666,0,1,0
8,2024-02-23 17:00:00,5,7,5,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Ascent,NRG Esports,Cloud9,4.0,0.0,1.0,0.6666666666666666,1,0,0
9,2024-02-23 19:25:00,8,3,9,4,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,Bind,LOUD,LEVIATÁN,3.0,-1.3333333333333333,1.0,0.6666666666666666,0,1,0
9,2024-02-23 19:25:00,7,6,6,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,Split,LOUD,LEVIATÁN,3.0,-1.3333333333333333,1.0,0.6666666666666666,1,0,0
9,2024-02-23 19:25:00,9,4,4,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,Ascent,LOUD,LEVIATÁN,3.0,-1.3333333333333333,1.0,0.6666666666666666,0,0,1
10,2024-02-24 17:00:00,8,4,8,4,1,-2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Sunset,G2 Esports,Evil Geniuses,0.6666666666666666,0.0,0.6666666666666666,0.5,1,0,0
10,2024-02-24 17:00:00,5,6,6,7,0,-2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Icebox,G2 Esports,Evil Geniuses,0.6666666666666666,0.0,0.6666666666666666,0.5,0,1,0
11,2024-02-25 15:00:00,7,5,7,5,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Bind,Cloud9,MIBR,-1.6,1.2,0.4,0.6,1,0,0
11,2024-02-25 15:00:00,4,5,7,6,0,-4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Ascent,Cloud9,MIBR,-1.6,1.2,0.4,0.6,0,1,0
