Overtime,Score Difference,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset,Team 1_0,Team 1_1,Team 1_2,Team 1_3,Team 1_4,Team 1_5,Team 2_0,Team 2_1,Team 2_2,Team 2_3,Team 2_4,Team 2_5,Map Name,Team 1,Team 2,pick_team_1,pick_team_2,remaining_map,Recent Form Difference,Win Rate Difference,Team 1 Attack Win Rate,Team 1 Defense Win Rate,Team 2 Attack Win Rate,Team 2 Defense Win Rate,Attack Rounds Played Difference,Defense Rounds Played Difference
0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Breeze,NRG Esports,FURIA,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Ascent,NRG Esports,FURIA,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Bind,Cloud9,MIBR,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,-5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Split,Cloud9,MIBR,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Lotus,Cloud9,MIBR,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,Split,LOUD,Sentinels,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,Ascent,LOUD,Sentinels,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Bind,LEVIATÁN,100 Thieves,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,-10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Split,LEVIATÁN,100 Thieves,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Icebox,LEVIATÁN,100 Thieves,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,Icebox,KRÜ Esports,G2 Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,-4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,Sunset,KRÜ Esports,G2 Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,-2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,Ascent,KRÜ Esports,G2 Esports,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,-4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,Split,FURIA,MIBR,0,1,0,-4.0,-0.3333333333333333,0.5,0.5,0.5,0.7777777777777778,-12,-9
0,-2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Breeze,FURIA,MIBR,1,0,0,-4.0,-0.3333333333333333,0.3333333333333333,0.5454545454545454,0.5,0.5,12,11
0,8,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,Lotus,Sentinels,100 Thieves,0,1,0,-4.333333333333333,-0.3333333333333333,0.5,0.5,0.5,0.5,0,0
0,-7,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,Bind,Sentinels,100 Thieves,1,0,0,-4.333333333333333,-0.3333333333333333,0.5,0.5,0.4,0.4166666666666667,-10,-12
0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,Split,Sentinels,100 Thieves,0,0,1,-4.333333333333333,-0.3333333333333333,0.25,0.6666666666666666,1.0,0.75,8,0
0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,Sunset,NRG Esports,Cloud9,0,1,0,4.0,0.33333333333333337,0.5,0.5,0.5,0.5,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Ascent,NRG Esports,Cloud9,1,0,0,4.0,0.33333333333333337,0.5,0.7777777777777778,0.5,0.5,12,9
0,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,Bind,LOUD,LEVIATÁN,0,1,0,4.333333333333333,0.33333333333333337,0.5,0.5,0.5833333333333334,0.6,-12,-10
0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,Split,LOUD,LEVIATÁN,1,0,0,4.333333333333333,0.33333333333333337,0.3333333333333333,0.75,0.25,0.0,0,8
0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,Ascent,LOUD,LEVIATÁN,0,0,1,4.333333333333333,0.33333333333333337,0.4166666666666667,0.8,0.5,0.5,12,10
1,-2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Sunset,G2 Esports,Evil Geniuses,1,0,0,0.6666666666666666,0.16666666666666663,0.7,0.5,0.5,0.5,10,12
0,-2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Icebox,G2 Esports,Evil Geniuses,0,1,0,0.6666666666666666,0.16666666666666663,0.5,0.3,0.5,0.5,12,10
1,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Bind,Cloud9,MIBR,1,0,0,-2.8,-0.19999999999999996,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.3333333333333333,0,0
0,-4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Ascent,Cloud9,MIBR,0,1,0,-2.8,-0.19999999999999996,0.4166666666666667,0.5833333333333334,0.5,0.5,12,12
0,-10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,Split,LEVIATÁN,Sentinels,0,1,0,-1.8333333333333333,0.09999999999999998,0.375,0.26666666666666666,0.4166666666666667,0.6666666666666666,0,-6
0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Breeze,LEVIATÁN,Sentinels,1,0,0,-1.8333333333333333,0.09999999999999998,0.5,0.5,0.5,0.5,0,0
0,-4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Bind,LEVIATÁN,Sentinels,0,0,1,-1.8333333333333333,0.09999999999999998,0.6666666666666666,0.45454545454545453,0.2857142857142857,0.3333333333333333,17,10
0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,Split,G2 Esports,KRÜ Esports,0,1,0,0.2666666666666666,0.06666666666666671,0.5,0.5,0.5,0.5,0,0
0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,Sunset,G2 Esports,KRÜ Esports,1,0,0,0.2666666666666666,0.06666666666666671,0.6818181818181818,0.4166666666666667,0.5,0.3,10,14
0,-6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,Split,MIBR,Sentinels,0,1,0,0.8392857142857142,0.2142857142857143,0.6363636363636364,0.5714285714285714,0.5,0.696969696969697,-6,-12
0,-7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,Ascent,MIBR,Sentinels,1,0,0,0.8392857142857142,0.2142857142857143,0.5833333333333334,0.6,0.2,0.5833333333333334,2,-2
0,-4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,Sunset,G2 Esports,MIBR,1,0,0,1.3095238095238093,0.015873015873015817,0.7419354838709677,0.4166666666666667,0.5,0.5,31,36
1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Split,G2 Esports,MIBR,0,1,0,1.3095238095238093,0.015873015873015817,0.6666666666666666,0.5833333333333334,0.47058823529411764,0.5862068965517241,-25,-17
0,-3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Breeze,G2 Esports,MIBR,0,0,1,1.3095238095238093,0.015873015873015817,0.5,0.5,0.3333333333333333,0.75,-12,-12
0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,Sunset,Sentinels,G2 Esports,1,0,0,3.107142857142857,0.09999999999999998,0.5,0.5,0.6341463414634146,0.4375,-41,-48
0,-4,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,Breeze,Sentinels,G2 Esports,0,1,0,3.107142857142857,0.09999999999999998,0.42857142857142855,0.25,0.36363636363636365,0.5,-4,0
0,-4,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,Split,Sentinels,G2 Esports,0,0,1,3.107142857142857,0.09999999999999998,0.4722222222222222,0.7333333333333333,0.6190476190476191,0.5,15,21
0,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,Ascent,Evil Geniuses,LOUD,0,1,0,-0.6000000000000001,0.19999999999999996,0.5,0.5,0.5833333333333334,0.6666666666666666,-24,-18
0,-6,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,Icebox,Evil Geniuses,LOUD,1,0,0,-0.6000000000000001,0.19999999999999996,0.5,0.5833333333333334,0.5,0.5,12,12
0,-8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,Sunset,Evil Geniuses,LOUD,0,0,1,-0.6000000000000001,0.19999999999999996,0.6666666666666666,0.3333333333333333,0.5,0.5,12,12
1,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,Sunset,NRG Esports,Sentinels,0,1,0,1.875,0.46153846153846156,0.625,0.6666666666666666,0.3333333333333333,1.0,-4,3
0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Ascent,NRG Esports,Sentinels,1,0,0,1.875,0.46153846153846156,0.4583333333333333,0.6666666666666666,0.47058823529411764,0.5833333333333334,7,-3
0,-10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,Split,NRG Esports,Sentinels,0,0,1,1.875,0.46153846153846156,0.5,0.5,0.41304347826086957,0.7017543859649122,-46,-57
0,-4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,Sunset,LOUD,Sentinels,1,0,0,0.5,0.1875,0.8333333333333334,0.6666666666666666,0.375,0.7619047619047619,-18,-9
0,-10,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,Split,LOUD,Sentinels,0,1,0,0.5,0.1875,0.4782608695652174,0.625,0.42,0.7391304347826086,-27,-45
0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,Icebox,LOUD,Sentinels,1,0,0,0.5,0.1875,0.6666666666666666,0.625,0.5,0.5,12,8
0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,Bind,LOUD,Sentinels,0,1,0,0.5,0.1875,0.6666666666666666,0.25,0.42105263157894735,0.5,-7,-10
0,-9,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,Lotus,LOUD,Sentinels,0,0,1,0.5,0.1875,0.5,0.5,0.75,0.6666666666666666,-12,-6
1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,Breeze,T1,BLEED,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,7,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,Lotus,T1,BLEED,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Icebox,Gen.G,Rex Regum Qeon,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,-2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,Split,Gen.G,Rex Regum Qeon,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,Sunset,Gen.G,Rex Regum Qeon,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,0,0
0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,Bind,ZETA DIVISION,Global Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,0,0
