Score Difference,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset,Map Name,Team 1,Team 2,pick_team_1,pick_team_2,remaining_map,Recent Form Difference,Win Rate Difference,Team 1 Attack Win Rate,Team 1 Defense Win Rate,Team 2 Attack Win Rate,Team 2 Defense Win Rate,Team 1 ID,Team 2 ID,Total Rounds Played Difference
3,0,0,1,0,0,0,0,0,Breeze,NRG Esports,FURIA,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,1,6,0
5,1,0,0,0,0,0,0,0,Ascent,NRG Esports,FURIA,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,1,6,0
2,0,1,0,0,0,0,0,0,Bind,Cloud9,MIBR,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,2,9,0
-5,0,0,0,0,0,0,1,0,Split,Cloud9,MIBR,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,2,9,0
3,0,0,0,0,0,1,0,0,Lotus,Cloud9,MIBR,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,2,9,0
2,0,0,0,0,0,0,1,0,Split,LOUD,Sentinels,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,3,7,0
4,1,0,0,0,0,0,0,0,Ascent,LOUD,Sentinels,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,3,7,0
4,0,1,0,0,0,0,0,0,Bind,LEVIATÁN,100 Thieves,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,4,43,0
-10,0,0,0,0,0,0,1,0,Split,LEVIATÁN,100 Thieves,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,4,43,0
2,0,0,0,0,1,0,0,0,Icebox,LEVIATÁN,100 Thieves,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,4,43,0
4,0,0,0,0,1,0,0,0,Icebox,KRÜ Esports,G2 Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,5,8,0
-4,0,0,0,0,0,0,0,1,Sunset,KRÜ Esports,G2 Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,5,8,0
-2,1,0,0,0,0,0,0,0,Ascent,KRÜ Esports,G2 Esports,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,5,8,0
-4,0,0,0,0,0,0,1,0,Split,FURIA,MIBR,0,1,0,-4.0,-0.3333333333333333,0.5,0.5,0.5,0.7777777777777778,6,9,-21
-2,0,0,1,0,0,0,0,0,Breeze,FURIA,MIBR,1,0,0,-4.0,-0.3333333333333333,0.3333333333333333,0.5454545454545454,0.5,0.5,6,9,23
8,0,0,0,0,0,1,0,0,Lotus,Sentinels,100 Thieves,0,1,0,-4.333333333333333,-0.3333333333333333,0.5,0.5,0.5,0.5,7,43,0
-7,0,1,0,0,0,0,0,0,Bind,Sentinels,100 Thieves,1,0,0,-4.333333333333333,-0.3333333333333333,0.5,0.5,0.4,0.4166666666666667,7,43,-22
5,0,0,0,0,0,0,1,0,Split,Sentinels,100 Thieves,0,0,1,-4.333333333333333,-0.3333333333333333,0.25,0.6666666666666666,1.0,0.75,7,43,8
6,0,0,0,0,0,0,0,1,Sunset,NRG Esports,Cloud9,0,1,0,4.0,0.3333333333333333,0.5,0.5,0.5,0.5,1,2,0
0,1,0,0,0,0,0,0,0,Ascent,NRG Esports,Cloud9,1,0,0,4.0,0.3333333333333333,0.5,0.7777777777777778,0.5,0.5,1,2,21
-2,0,1,0,0,0,0,0,0,Bind,LOUD,LEVIATÁN,0,1,0,4.333333333333333,0.3333333333333333,0.5,0.5,0.5833333333333334,0.6,3,4,-22
3,0,0,0,0,0,0,1,0,Split,LOUD,LEVIATÁN,1,0,0,4.333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.25,0.0,3,4,8
6,1,0,0,0,0,0,0,0,Ascent,LOUD,LEVIATÁN,0,0,1,4.333333333333333,0.3333333333333333,0.4166666666666667,0.8,0.5,0.5,3,4,22
0,0,0,0,0,0,0,0,1,Sunset,G2 Esports,Evil Geniuses,1,0,0,0.6666666666666666,0.1666666666666666,0.7,0.5,0.5,0.5,8,10,22
-2,0,0,0,0,1,0,0,0,Icebox,G2 Esports,Evil Geniuses,0,1,0,0.6666666666666666,0.1666666666666666,0.5,0.3,0.5,0.5,8,10,22
0,0,1,0,0,0,0,0,0,Bind,Cloud9,MIBR,1,0,0,-2.8,-0.1999999999999999,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.3333333333333333,2,9,0
