Match ID,Date,Team 1,Team 2,Map Name,Map Duration,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Event,Match Format,Winner,Maps Picked/Banned,Team 1 Map Status,Team 2 Map Status,Team 1 Map Win Rate,Team 2 Map Win Rate,Team 1 Recent Form,Team 2 Recent Form,Score Difference
1,2024-02-16 17:00:00,NRG Esports,FURIA,Breeze,3308.0,5,8,4,6,Champions Tour 2024: Americas Kickoff,Bo3,NRG Esports,"[{'Team': 'FUR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUR', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'NRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",,,0.5,0.5,0.0,0.0,3
1,2024-02-16 17:00:00,NRG Esports,FURIA,Ascent,2894.0,6,7,2,6,Champions Tour 2024: Americas Kickoff,Bo3,NRG Esports,"[{'Team': 'FUR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUR', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'NRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",Picked,,0.5,0.5,0.0,0.0,5
2,2024-02-16 20:00:00,Cloud9,MIBR,Bind,4014.0,8,5,7,4,Champions Tour 2024: Americas Kickoff,Bo3,Cloud9,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",Picked,,0.5,0.5,0.0,0.0,2
2,2024-02-16 20:00:00,Cloud9,MIBR,Split,2849.0,2,6,6,7,Champions Tour 2024: Americas Kickoff,Bo3,Cloud9,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",,Picked,0.5,0.5,0.0,0.0,-5
2,2024-02-16 20:00:00,Cloud9,MIBR,Lotus,3427.0,5,8,3,7,Champions Tour 2024: Americas Kickoff,Bo3,Cloud9,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",Remaining,Remaining,0.5,0.5,0.0,0.0,3
3,2024-02-17 17:00:00,LOUD,Sentinels,Split,4329.0,4,9,3,8,Champions Tour 2024: Americas Kickoff,Bo3,LOUD,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",,Picked,0.5,0.5,0.0,0.0,2
3,2024-02-17 17:00:00,LOUD,Sentinels,Ascent,3105.0,5,8,2,7,Champions Tour 2024: Americas Kickoff,Bo3,LOUD,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",Picked,,0.5,0.5,0.0,0.0,4
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Bind,3798.0,7,6,4,5,Champions Tour 2024: Americas Kickoff,Bo3,LEVIATÁN,"[{'Team': '100T', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': '100T', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Split'}, {'Team': '100T', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",,Picked,0.5,0.5,0.0,0.0,4
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Split,2197.0,3,0,4,9,Champions Tour 2024: Americas Kickoff,Bo3,LEVIATÁN,"[{'Team': '100T', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': '100T', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Split'}, {'Team': '100T', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Picked,,0.5,0.5,0.0,0.0,-10
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Icebox,3187.0,6,7,5,6,Champions Tour 2024: Americas Kickoff,Bo3,LEVIATÁN,"[{'Team': '100T', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': '100T', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Split'}, {'Team': '100T', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Remaining,Remaining,0.5,0.5,0.0,0.0,2
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Icebox,3970.0,7,6,6,3,Champions Tour 2024: Americas Kickoff,Bo3,G2 Esports,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",,Picked,0.5,0.5,0.0,0.0,4
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Sunset,3193.0,6,3,7,6,Champions Tour 2024: Americas Kickoff,Bo3,G2 Esports,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",Picked,,0.5,0.5,0.0,0.0,-4
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Ascent,3400.0,7,4,8,5,Champions Tour 2024: Americas Kickoff,Bo3,G2 Esports,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",Remaining,Remaining,0.5,0.5,0.0,0.0,-2
6,2024-02-19 17:00:00,FURIA,MIBR,Split,4452.0,7,2,8,5,Champions Tour 2024: Americas Kickoff,Bo3,MIBR,"[{'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'FUR', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",,Picked,0.5,1.0,-4.0,0.0,-4
6,2024-02-19 17:00:00,FURIA,MIBR,Breeze,3386.0,3,8,4,9,Champions Tour 2024: Americas Kickoff,Bo3,MIBR,"[{'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'FUR', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",,,0.0,0.5,-4.0,0.0,-2
7,2024-02-19 19:45:00,Sentinels,100 Thieves,Lotus,2996.0,9,4,2,3,Champions Tour 2024: Americas Kickoff,Bo3,Sentinels,"[{'Team': '100T', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': '100T', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Bind'}, {'Team': '100T', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",,Picked,0.5,0.5,-3.0,1.3333333333333333,8
