Team Name,Team ID
NRG Esports,1
Cloud9,2
LOUD,3
LEVIATÁN,4
KRÜ Esports,5
FURIA,6
Sentinels,7
G2 Esports,8
MIBR,9
Evil Geniuses,10
T1,11
Gen.G,12
ZETA DIVISION,13
Team Secret,14
DRX,15
BLEED,16
DetonatioN FocusMe,17
Talon Esports,18
Paper Rex,19
FUT Esports,20
GIANTX,21
Natus Vincere,22
Team Liquid,23
Team Vitality,24
Team Heretics,25
BBL Esports,26
Karmine Corp,27
KOI,28
FNATIC,29
Trace Esports,30
FunPlus Phoenix,31
JDG Esports,32
Dragon Ranger Gaming,33
Bilibili Gaming,34
TYLOO,35
Titan Esports Club,36
Wolves Esports,37
EDward Gaming,38
Gentle Mates,39
Nova Esports,40
All Gamers,41
Global Esports,42
100 Thieves,43
Rex Regum Qeon,44
