Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Valorant Champions 2024,Gen.G,Sentinels,2024-08-01 04:00:00,Bo3,SEN ban Icebox; GEN ban Sunset; SEN pick Haven; GEN pick Ascent; SEN ban Bind; GEN ban Lotus; Abyss remains,"['Haven: 13-8', ' Ascent: 13-7']","['6', '8']","['7', '5']","[None, None]","['3', '4']","['5', '3']","[None, None]","[3760, 2805]"
Valorant Champions 2024,FunPlus Phoenix,Team Heretics,2024-08-01 06:25:00,Bo3,FPX ban Sunset; TH ban Icebox; FPX pick Abyss; TH pick Bind; FPX ban Ascent; TH ban Haven; Lotus remains,"['Abyss: 12-14', ' Bind: 13-9', ' Lotus: 13-15']","['8', '5', '6']","['4', '8', '6']","['0', None, '1']","['4', '5', '6']","['8', '4', '6']","['2', None, '3']","[4212, 3181, 4032]"
Valorant Champions 2024,DRX,KRÜ Esports,2024-08-02 04:00:00,Bo3,KRÜ ban Icebox; DRX ban Lotus; KRÜ pick Haven; DRX pick Abyss; KRÜ ban Ascent; DRX ban Sunset; Bind remains,"['Haven: 2-13', ' Abyss: 13-6', ' Bind: 13-6']","['2', '5', '4']","['0', '8', '9']","[None, None, None]","['10', '2', '3']","['3', '4', '3']","[None, None, None]","[2219, 3068, 2753]"
Valorant Champions 2024,FNATIC,Bilibili Gaming,2024-08-02 07:00:00,Bo3,BLG ban Haven; FNC ban Sunset; BLG pick Bind; FNC pick Lotus; BLG ban Abyss; FNC ban Icebox; Ascent remains,"['Bind: 13-9', ' Lotus: 13-4']","['6', '3']","['7', '10']","[None, None]","['4', '2']","['5', '2']","[None, None]","[3726, 2213]"
Valorant Champions 2024,LEVIATÁN,Talon Esports,2024-08-03 04:00:00,Bo3,TLN ban Icebox; LEV ban Lotus; TLN pick Bind; LEV pick Ascent; TLN ban Haven; LEV ban Abyss; Sunset remains,"['Bind: 13-11', ' Ascent: 13-8']","['6', '5']","['7', '8']","[None, None]","['6', '4']","['5', '4']","[None, None]","[3939, 3242]"
Valorant Champions 2024,Team Vitality,Trace Esports,2024-08-03 06:30:00,Bo3,TE ban Icebox; VIT ban Lotus; TE pick Ascent; VIT pick Sunset; TE ban Abyss; VIT ban Haven; Bind remains,"['Ascent: 13-15', ' Sunset: 13-7', ' Bind: 7-13']","['7', '5', '6']","['5', '8', '1']","['1', None, None]","['5', '3', '6']","['7', '4', '7']","['3', None, None]","[4162, 2810, 2726]"
Valorant Champions 2024,G2 Esports,Paper Rex,2024-08-04 04:00:00,Bo3,PRX ban Ascent; G2 ban Sunset; PRX pick Icebox; G2 pick Lotus; PRX ban Haven; G2 ban Abyss; Bind remains,"['Icebox: 13-8', ' Lotus: 13-9']","['8', '4']","['5', '9']","[None, None]","['4', '6']","['4', '3']","[None, None]","[3332, 2943]"
Valorant Champions 2024,EDward Gaming,FUT Esports,2024-08-04 06:15:00,Bo3,FUT ban Haven; EDG ban Ascent; FUT pick Lotus; EDG pick Bind; FUT ban Abyss; EDG ban Icebox; Sunset remains,"['Lotus: 13-9', ' Bind: 13-10']","['8', '8']","['5', '5']","[None, None]","['4', '4']","['5', '6']","[None, None]","[3313, 3298]"
Valorant Champions 2024,Gen.G,Team Heretics,2024-08-06 04:00:00,Bo3,TH ban Ascent; GEN ban Sunset; TH pick Abyss; GEN pick Lotus; TH ban Icebox; GEN ban Haven; Bind remains,"['Abyss: 13-11', ' Lotus: 11-13', ' Bind: 10-13']","['7', '8', '6']","['6', '3', '4']","[None, None, None]","['5', '4', '5']","['6', '9', '8']","[None, None, None]","[3959, 3449, 3195]"
Valorant Champions 2024,FNATIC,DRX,2024-08-06 07:35:00,Bo3,DRX ban Haven; FNC ban Icebox; DRX pick Abyss; FNC pick Lotus; DRX ban Ascent; FNC ban Sunset; Bind remains,"['Abyss: 11-13', ' Lotus: 6-13']","['5', '1']","['6', '5']","[None, None]","['7', '6']","['6', '7']","[None, None]","[4010, 2823]"
