Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Valorant Champions 2024,Gen.G,Sentinels,2024-08-01 04:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Abyss'}]","[{'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 7}]","[6, 8]","[7, 5]","[None, None]","[3, 4]","[5, 3]","[None, None]","[3760, 2805]"
Valorant Champions 2024,FunPlus Phoenix,Team Heretics,2024-08-01 06:25:00,Bo3,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Abyss', 'Team 1 Score': 12, 'Team 2 Score': 14}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 15}]","[8, 5, 6]","[4, 8, 6]","[0, None, 1]","[4, 5, 6]","[8, 4, 6]","[2, None, 3]","[4212, 3181, 4032]"
Valorant Champions 2024,DRX,KRÜ Esports,2024-08-02 04:00:00,Bo3,"[{'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Haven', 'Team 1 Score': 2, 'Team 2 Score': 13}, {'Map': 'Abyss', 'Team 1 Score': 13, 'Team 2 Score': 6}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[2, 5, 4]","[0, 8, 9]","[None, None, None]","[10, 2, 3]","[3, 4, 3]","[None, None, None]","[2219, 3068, 2753]"
Valorant Champions 2024,FNATIC,Bilibili Gaming,2024-08-02 07:00:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FNC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 4}]","[6, 3]","[7, 10]","[None, None]","[4, 2]","[5, 2]","[None, None]","[3726, 2213]"
Valorant Champions 2024,LEVIATÁN,Talon Esports,2024-08-03 04:00:00,Bo3,"[{'Team': 'TLN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 8}]","[6, 5]","[7, 8]","[None, None]","[6, 4]","[5, 4]","[None, None]","[3939, 3242]"
Valorant Champions 2024,Team Vitality,Trace Esports,2024-08-03 06:30:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'VIT', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'VIT', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'VIT', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 15}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Bind', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[7, 5, 6]","[5, 8, 1]","[1, None, None]","[5, 3, 6]","[7, 4, 7]","[3, None, None]","[4162, 2810, 2726]"
Valorant Champions 2024,G2 Esports,Paper Rex,2024-08-04 04:00:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 9}]","[8, 4]","[5, 9]","[None, None]","[4, 6]","[4, 3]","[None, None]","[3332, 2943]"
Valorant Champions 2024,EDward Gaming,FUT Esports,2024-08-04 06:15:00,Bo3,"[{'Team': 'FUT', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FUT', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FUT', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[8, 8]","[5, 5]","[None, None]","[4, 4]","[5, 6]","[None, None]","[3313, 3298]"
Valorant Champions 2024,Gen.G,Team Heretics,2024-08-06 04:00:00,Bo3,"[{'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Abyss', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Lotus', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 10, 'Team 2 Score': 13}]","[7, 8, 6]","[6, 3, 4]","[None, None, None]","[5, 4, 5]","[6, 9, 8]","[None, None, None]","[3959, 3449, 3195]"
Valorant Champions 2024,FNATIC,DRX,2024-08-06 07:35:00,Bo3,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'FNC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Abyss', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[5, 1]","[6, 5]","[None, None]","[7, 6]","[6, 7]","[None, None]","[4010, 2823]"
Valorant Champions 2024,LEVIATÁN,Trace Esports,2024-08-07 04:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Bind', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Ascent', 'Team 1 Score': 5, 'Team 2 Score': 13}]","[5, 6, 2]","[5, 7, 3]","[None, None, None]","[6, 4, 10]","[7, 5, 3]","[None, None, None]","[3965, 2813, 2762]"
Valorant Champions 2024,EDward Gaming,G2 Esports,2024-08-07 07:15:00,Bo3,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Haven', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 11, 'Team 2 Score': 13}]","[9, 5, 8]","[4, 6, 3]","[None, None, None]","[3, 7, 4]","[5, 6, 9]","[None, None, None]","[3406, 3317, 3480]"
Valorant Champions 2024,Sentinels,FunPlus Phoenix,2024-08-08 04:00:00,Bo3,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Abyss'}]","[{'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 5}]","[4, 4]","[9, 9]","[None, None]","[8, 2]","[0, 3]","[None, None]","[3480, 2517]"
Valorant Champions 2024,Bilibili Gaming,KRÜ Esports,2024-08-08 06:10:00,Bo3,"[{'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Lotus', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 4, 'Team 2 Score': 13}]","[7, 3]","[2, 1]","[None, None]","[5, 9]","[8, 4]","[None, None]","[3666, 2180]"
Valorant Champions 2024,Talon Esports,Team Vitality,2024-08-09 04:00:00,Bo3,"[{'Team': 'TLN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'VIT', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'VIT', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'VIT', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Lotus', 'Team 1 Score': 6, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 8, 'Team 2 Score': 13}]","[4, 2]","[2, 6]","[None, None]","[3, 7]","[10, 6]","[None, None]","[3964, 2934]"
Valorant Champions 2024,FUT Esports,Paper Rex,2024-08-09 06:25:00,Bo3,"[{'Team': 'FUT', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FUT', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FUT', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Sunset', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[6, 3]","[5, 3]","[None, None]","[6, 9]","[7, 4]","[None, None]","[3768, 2405]"
Valorant Champions 2024,Gen.G,Sentinels,2024-08-10 04:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Lotus', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[4, 5]","[5, 1]","[None, None]","[6, 7]","[7, 6]","[None, None]","[3471, 2645]"
Valorant Champions 2024,FNATIC,KRÜ Esports,2024-08-10 06:15:00,Bo3,"[{'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'FNC', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Sunset', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 5}]","[7, 7, 5]","[4, 6, 8]","[None, None, None]","[5, 3, 1]","[8, 6, 4]","[None, None, None]","[3929, 3548, 2759]"
Valorant Champions 2024,LEVIATÁN,Team Vitality,2024-08-11 04:00:00,Bo3,"[{'Team': 'LEV', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'VIT', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'VIT', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'VIT', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Icebox', 'Team 1 Score': 14, 'Team 2 Score': 12}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 4}]","[5, 3]","[7, 10]","[2, None]","[7, 2]","[5, 2]","[0, None]","[4177, 2190]"
