Match ID,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Team 1 Halftime Score,Team 2 Halftime Score,Halftime Lead,Side Picker,Side Picked,Team 1,Team 2
1,11,13,9,2,0,10,3,0,9,3,6,KOI,Attack,KOI,NRG Esports
1,9,13,5,4,0,8,5,0,4,8,-4,NRG Esports,Attack,KOI,NRG Esports
2,4,13,4,0,0,5,8,0,4,8,-4,GIANTX,Defense,DetonatioN FocusMe,GIANTX
2,7,13,3,4,0,8,5,0,4,8,-4,DetonatioN FocusMe,Defense,DetonatioN FocusMe,GIANTX
3,6,13,4,2,0,5,8,0,4,8,-4,Karmine Corp,Defense,FunPlus Phoenix,Karmine Corp
3,13,8,7,6,0,6,2,0,6,6,0,FunPlus Phoenix,Defense,FunPlus Phoenix,Karmine Corp
3,6,13,1,5,0,7,6,0,5,7,-2,FunPlus Phoenix,Defense,FunPlus Phoenix,Karmine Corp
4,3,13,0,3,0,9,4,0,3,9,-6,BBL Esports,Defense,BBL Esports,DRX
4,13,11,4,9,0,3,8,0,4,8,-4,DRX,Defense,BBL Esports,DRX
4,7,13,6,1,0,11,2,0,1,11,-10,DRX,Attack,BBL Esports,DRX
5,13,8,6,7,0,5,3,0,7,5,2,Cloud9,Defense,Cloud9,Paper Rex
5,13,4,10,3,0,2,2,0,10,2,8,Paper Rex,Defense,Cloud9,Paper Rex
6,8,13,2,6,0,6,7,0,6,6,0,Team Heretics,Defense,Team Heretics,Evil Geniuses
6,8,13,5,3,0,6,7,0,5,7,-2,Evil Geniuses,Defense,Team Heretics,Evil Geniuses
7,8,13,4,4,0,5,8,0,4,8,-4,TALON,Defense,MIBR,TALON
7,11,13,5,6,0,6,7,0,5,7,-2,MIBR,Attack,MIBR,TALON
8,9,13,7,2,0,8,5,0,7,5,2,Gen.G,Attack,Gen.G,LOUD
8,12,14,8,4,0,8,4,2,4,8,-4,LOUD,Attack,Gen.G,LOUD
9,12,14,8,4,0,8,4,2,4,8,-4,GIANTX,Attack,NRG Esports,GIANTX
9,13,1,11,2,0,0,1,0,11,1,10,NRG Esports,Attack,NRG Esports,GIANTX
9,13,7,4,9,0,3,4,0,9,3,6,NRG Esports,Defense,NRG Esports,GIANTX
10,13,10,8,5,0,6,4,0,8,4,4,Karmine Corp,Defense,LOUD,Karmine Corp
10,13,8,8,5,0,4,4,0,8,4,4,LOUD,Attack,LOUD,Karmine Corp
11,3,13,3,0,0,4,9,0,3,9,-6,DRX,Attack,DRX,Cloud9
11,13,7,9,4,0,4,3,0,9,3,6,Cloud9,Defense,DRX,Cloud9
11,13,2,11,2,0,1,1,0,11,1,10,Cloud9,Defense,DRX,Cloud9
12,11,13,2,9,0,3,10,0,9,3,6,TALON,Attack,Evil Geniuses,TALON
12,10,13,2,8,0,4,9,0,8,4,4,Evil Geniuses,Defense,Evil Geniuses,TALON
13,3,13,0,3,0,9,4,0,3,9,-6,LOUD,Attack,NRG Esports,LOUD
13,15,13,7,5,3,7,5,1,7,5,2,NRG Esports,Attack,NRG Esports,LOUD
13,16,18,7,5,4,7,5,6,5,7,-2,NRG Esports,Defense,NRG Esports,LOUD
14,10,13,4,6,0,5,8,0,4,8,-4,DRX,Attack,DRX,TALON
14,13,6,6,7,0,0,6,0,6,6,0,TALON,Defense,DRX,TALON
14,13,10,7,6,0,5,5,0,7,5,2,TALON,Defense,DRX,TALON
15,8,13,2,6,0,3,10,0,2,10,-8,Team Liquid,Attack,Team Liquid,Team Secret
15,7,13,3,4,0,4,9,0,3,9,-6,Team Secret,Defense,Team Liquid,Team Secret
16,13,5,9,4,0,2,3,0,9,3,6,Natus Vincere,Attack,Natus Vincere,KRÜ Esports
16,13,10,10,3,0,9,1,0,3,9,-6,KRÜ Esports,Attack,Natus Vincere,KRÜ Esports
17,4,13,2,2,0,10,3,0,2,10,-8,ZETA DIVISION,Defense,ZETA DIVISION,LEVIATÁN
17,11,13,6,5,0,7,6,0,6,6,0,LEVIATÁN,Defense,ZETA DIVISION,LEVIATÁN
18,13,4,9,4,0,1,3,0,9,3,6,Team Vitality,Attack,Team Vitality,Global Esports
18,9,13,2,7,0,5,8,0,7,5,2,Global Esports,Attack,Team Vitality,Global Esports
18,13,6,8,5,0,2,4,0,8,4,4,Global Esports,Defense,Team Vitality,Global Esports
19,13,3,3,10,0,2,1,0,10,2,8,FUT Esports,Defense,FUT Esports,Rex Regum Qeon
19,13,11,8,5,0,7,4,0,5,7,-2,Rex Regum Qeon,Attack,FUT Esports,Rex Regum Qeon
20,13,10,5,8,0,4,6,0,8,4,4,EDward Gaming,Attack,100 Thieves,EDward Gaming
20,9,13,7,2,0,8,5,0,7,5,2,100 Thieves,Attack,100 Thieves,EDward Gaming
20,14,12,5,7,2,5,7,0,5,7,-2,100 Thieves,Attack,100 Thieves,EDward Gaming
21,6,13,3,3,0,4,9,0,3,9,-6,Sentinels,Attack,Sentinels,FNATIC
21,7,13,6,1,0,7,6,0,6,6,0,FNATIC,Defense,Sentinels,FNATIC
22,7,13,1,6,0,6,7,0,6,6,0,FURIA,Attack,T1,FURIA
22,5,13,5,0,0,6,7,0,5,7,-2,T1,Attack,T1,FURIA
23,8,13,6,2,0,7,6,0,6,6,0,Natus Vincere,Defense,Team Secret,Natus Vincere
23,4,13,3,1,0,4,9,0,3,9,-6,Team Secret,Attack,Team Secret,Natus Vincere
24,16,14,7,5,4,7,5,2,5,7,-2,Team Vitality,Attack,LEVIATÁN,Team Vitality
24,13,3,3,10,0,2,1,0,10,2,8,LEVIATÁN,Defense,LEVIATÁN,Team Vitality
25,13,9,8,5,0,7,2,0,5,7,-2,100 Thieves,Attack,FUT Esports,100 Thieves
25,11,13,6,5,0,7,6,0,5,7,-2,FUT Esports,Defense,FUT Esports,100 Thieves
25,8,13,4,4,0,5,8,0,4,8,-4,FUT Esports,Attack,FUT Esports,100 Thieves
26,18,16,8,4,6,8,4,4,8,4,4,FURIA,Defense,FNATIC,FURIA
26,13,9,5,8,0,4,5,0,8,4,4,FNATIC,Defense,FNATIC,FURIA
27,13,10,7,6,0,6,4,0,6,6,0,Natus Vincere,Defense,Natus Vincere,LEVIATÁN
27,13,2,11,2,0,1,1,0,11,1,10,LEVIATÁN,Defense,Natus Vincere,LEVIATÁN
28,1,13,0,1,0,11,2,0,1,11,-10,FNATIC,Attack,100 Thieves,FNATIC
28,10,13,2,8,0,3,10,0,2,10,-8,100 Thieves,Attack,100 Thieves,FNATIC
29,13,5,4,9,0,3,2,0,9,3,6,DRX,Attack,LOUD,DRX
29,13,8,9,4,0,5,3,0,9,3,6,LOUD,Attack,LOUD,DRX
29,7,13,3,4,0,4,9,0,3,9,-6,DRX,Defense,LOUD,DRX
29,7,13,6,1,0,7,6,0,6,6,0,LOUD,Attack,LOUD,DRX
29,13,8,7,6,0,3,5,0,7,5,2,DRX,Defense,LOUD,DRX
30,11,13,5,6,0,6,7,0,5,7,-2,Natus Vincere,Attack,Natus Vincere,FNATIC
30,4,13,2,2,0,10,3,0,2,10,-8,FNATIC,Attack,Natus Vincere,FNATIC
30,11,13,5,6,0,6,7,0,6,6,0,Natus Vincere,Defense,Natus Vincere,FNATIC
31,8,13,4,4,0,5,8,0,4,8,-4,FNATIC,Defense,LOUD,FNATIC
31,7,13,1,6,0,6,7,0,6,6,0,LOUD,Defense,LOUD,FNATIC
31,13,9,7,6,0,4,5,0,7,5,2,FNATIC,Defense,LOUD,FNATIC
31,13,8,7,6,0,3,5,0,7,5,2,LOUD,Attack,LOUD,FNATIC
31,12,14,9,3,0,9,3,2,9,3,6,FNATIC,Defense,LOUD,FNATIC
32,5,13,1,4,0,8,5,0,4,8,-4,ZETA DIVISION,Defense,ZETA DIVISION,DRX
32,5,13,4,1,0,11,2,0,1,11,-10,DRX,Attack,ZETA DIVISION,DRX
33,13,8,4,9,0,3,5,0,9,3,6,T1,Defense,T1,Global Esports
33,4,13,2,2,0,10,3,0,2,10,-8,Global Esports,Attack,T1,Global Esports
33,13,7,5,8,0,4,3,0,8,4,4,Global Esports,Attack,T1,Global Esports
34,13,5,4,9,0,3,2,0,9,3,6,DetonatioN FocusMe,Attack,Paper Rex,DetonatioN FocusMe
34,13,11,7,6,0,6,5,0,7,5,2,Paper Rex,Attack,Paper Rex,DetonatioN FocusMe
35,13,5,5,8,0,4,1,0,8,4,4,Team Secret,Defense,Team Secret,TALON
35,8,13,3,5,0,4,9,0,3,9,-6,TALON,Defense,Team Secret,TALON
35,13,3,10,3,0,1,2,0,10,2,8,TALON,Defense,Team Secret,TALON
36,9,13,5,4,0,8,5,0,4,8,-4,Rex Regum Qeon,Defense,Rex Regum Qeon,Gen.G
36,6,13,2,4,0,8,5,0,4,8,-4,Gen.G,Attack,Rex Regum Qeon,Gen.G
37,10,13,3,7,0,4,9,0,3,9,-6,Rex Regum Qeon,Defense,ZETA DIVISION,Rex Regum Qeon
37,13,10,6,7,0,4,6,0,6,6,0,ZETA DIVISION,Attack,ZETA DIVISION,Rex Regum Qeon
37,13,5,7,6,0,0,5,0,7,5,2,ZETA DIVISION,Attack,ZETA DIVISION,Rex Regum Qeon
38,8,13,4,4,0,8,5,0,4,8,-4,TALON,Defense,TALON,T1
38,6,13,3,3,0,9,4,0,3,9,-6,T1,Attack,TALON,T1
39,11,13,5,6,0,6,7,0,6,6,0,Paper Rex,Attack,Team Secret,Paper Rex
39,13,11,5,8,0,4,7,0,8,4,4,Team Secret,Defense,Team Secret,Paper Rex
39,13,10,8,5,0,7,3,0,5,7,-2,Team Secret,Defense,Team Secret,Paper Rex
40,13,8,5,8,0,1,7,0,5,7,-2,Gen.G,Attack,Gen.G,DetonatioN FocusMe
40,4,13,0,4,0,8,5,0,4,8,-4,DetonatioN FocusMe,Attack,Gen.G,DetonatioN FocusMe
40,13,8,8,5,0,7,1,0,5,7,-2,DetonatioN FocusMe,Attack,Gen.G,DetonatioN FocusMe
41,11,13,5,6,0,6,7,0,5,7,-2,Global Esports,Attack,Global Esports,DRX
41,15,17,6,6,3,6,6,5,6,6,0,DRX,Defense,Global Esports,DRX
42,13,4,3,10,0,2,2,0,10,2,8,DetonatioN FocusMe,Attack,Rex Regum Qeon,DetonatioN FocusMe
