Match ID,Team 1,Team 2,Team A,Team B,Map Name,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime
1,KOI,NRG Esports,NRG Esports,KOI,Icebox,11,13,9,2,0,10,3,0,1,KOI,Attack,0
1,KOI,NRG Esports,NRG Esports,KOI,Haven,9,13,5,4,0,8,5,0,2,NRG Esports,Attack,0
2,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,Haven,4,13,4,0,0,5,8,0,1,GIANTX,Defense,0
2,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,Icebox,7,13,3,4,0,8,5,0,2,DetonatioN FocusMe,Defense,0
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,Lotus,6,13,4,2,0,5,8,0,1,Karmine Corp,Defense,0
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,Haven,13,8,7,6,0,6,2,0,2,FunPlus Phoenix,Defense,0
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,Pearl,6,13,1,5,0,7,6,0,3,FunPlus Phoenix,Defense,0
4,BBL Esports,DRX,DRX,BBL Esports,Pearl,3,13,0,3,0,9,4,0,1,BBL Esports,Defense,0
4,BBL Esports,DRX,DRX,BBL Esports,Ascent,13,11,4,9,0,3,8,0,2,DRX,Defense,0
4,BBL Esports,DRX,DRX,BBL Esports,Haven,7,13,6,1,0,11,2,0,3,DRX,Attack,0
5,Cloud9,Paper Rex,Paper Rex,Cloud9,Lotus,13,8,6,7,0,5,3,0,1,Cloud9,Defense,0
5,Cloud9,Paper Rex,Paper Rex,Cloud9,Pearl,13,4,10,3,0,2,2,0,2,Paper Rex,Defense,0
6,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,Pearl,8,13,2,6,0,6,7,0,1,Team Heretics,Defense,0
6,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,Ascent,8,13,5,3,0,6,7,0,2,Evil Geniuses,Defense,0
7,MIBR,TALON,MIBR,TALON,Haven,8,13,4,4,0,5,8,0,1,TALON,Defense,0
7,MIBR,TALON,MIBR,TALON,Fracture,11,13,5,6,0,6,7,0,2,MIBR,Attack,0
8,Gen.G,LOUD,LOUD,Gen.G,Pearl,9,13,7,2,0,8,5,0,1,Gen.G,Attack,0
8,Gen.G,LOUD,LOUD,Gen.G,Fracture,12,14,8,4,0,8,4,2,2,LOUD,Attack,1
9,NRG Esports,GIANTX,NRG Esports,GIANTX,Lotus,12,14,8,4,0,8,4,2,1,GIANTX,Attack,1
9,NRG Esports,GIANTX,NRG Esports,GIANTX,Haven,13,1,11,2,0,0,1,0,2,NRG Esports,Attack,0
9,NRG Esports,GIANTX,NRG Esports,GIANTX,Icebox,13,7,4,9,0,3,4,0,3,NRG Esports,Defense,0
10,LOUD,Karmine Corp,LOUD,Karmine Corp,Pearl,13,10,8,5,0,6,4,0,1,Karmine Corp,Defense,0
10,LOUD,Karmine Corp,LOUD,Karmine Corp,Split,13,8,8,5,0,4,4,0,2,LOUD,Attack,0
11,DRX,Cloud9,Cloud9,DRX,Pearl,3,13,3,0,0,4,9,0,1,DRX,Attack,0
11,DRX,Cloud9,Cloud9,DRX,Haven,13,7,9,4,0,4,3,0,2,Cloud9,Defense,0
11,DRX,Cloud9,Cloud9,DRX,Icebox,13,2,11,2,0,1,1,0,3,Cloud9,Defense,0
12,Evil Geniuses,TALON,Evil Geniuses,TALON,Haven,11,13,2,9,0,3,10,0,1,TALON,Attack,0
12,Evil Geniuses,TALON,Evil Geniuses,TALON,Split,10,13,2,8,0,4,9,0,2,Evil Geniuses,Defense,0
13,NRG Esports,LOUD,NRG Esports,LOUD,Split,3,13,0,3,0,9,4,0,1,LOUD,Attack,0
13,NRG Esports,LOUD,NRG Esports,LOUD,Pearl,15,13,7,5,3,7,5,1,2,NRG Esports,Attack,1
13,NRG Esports,LOUD,NRG Esports,LOUD,Fracture,16,18,7,5,4,7,5,6,3,NRG Esports,Defense,1
14,DRX,TALON,TALON,DRX,Fracture,10,13,4,6,0,5,8,0,1,DRX,Attack,0
14,DRX,TALON,TALON,DRX,Ascent,13,6,6,7,0,0,6,0,2,TALON,Defense,0
14,DRX,TALON,TALON,DRX,Icebox,13,10,7,6,0,5,5,0,3,TALON,Defense,0
15,Team Liquid,Team Secret,Team Secret,Team Liquid,Icebox,8,13,2,6,0,3,10,0,1,Team Liquid,Attack,0
15,Team Liquid,Team Secret,Team Secret,Team Liquid,Fracture,7,13,3,4,0,4,9,0,2,Team Secret,Defense,0
16,Natus Vincere,KRÜ Esports,KRÜ Esports,Natus Vincere,Ascent,13,5,9,4,0,2,3,0,1,Natus Vincere,Attack,0
16,Natus Vincere,KRÜ Esports,KRÜ Esports,Natus Vincere,Lotus,13,10,10,3,0,9,1,0,2,KRÜ Esports,Attack,0
17,ZETA DIVISION,LEVIATÁN,LEVIATÁN,ZETA DIVISION,Ascent,4,13,2,2,0,10,3,0,1,ZETA DIVISION,Defense,0
17,ZETA DIVISION,LEVIATÁN,LEVIATÁN,ZETA DIVISION,Pearl,11,13,6,5,0,7,6,0,2,LEVIATÁN,Defense,0
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Split,13,4,9,4,0,1,3,0,1,Team Vitality,Attack,0
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Pearl,9,13,2,7,0,5,8,0,2,Global Esports,Attack,0
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Lotus,13,6,8,5,0,2,4,0,3,Global Esports,Defense,0
19,FUT Esports,Rex Regum Qeon,Rex Regum Qeon,FUT Esports,Lotus,13,3,3,10,0,2,1,0,1,FUT Esports,Defense,0
19,FUT Esports,Rex Regum Qeon,Rex Regum Qeon,FUT Esports,Pearl,13,11,8,5,0,7,4,0,2,Rex Regum Qeon,Attack,0
20,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,Icebox,13,10,5,8,0,4,6,0,1,EDward Gaming,Attack,0
20,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,Lotus,9,13,7,2,0,8,5,0,2,100 Thieves,Attack,0
20,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,Pearl,14,12,5,7,2,5,7,0,3,100 Thieves,Attack,1
21,Sentinels,FNATIC,FNATIC,Sentinels,Haven,6,13,3,3,0,4,9,0,1,Sentinels,Attack,0
21,Sentinels,FNATIC,FNATIC,Sentinels,Split,7,13,6,1,0,7,6,0,2,FNATIC,Defense,0
22,T1,FURIA,T1,FURIA,Pearl,7,13,1,6,0,6,7,0,1,FURIA,Attack,0
22,T1,FURIA,T1,FURIA,Icebox,5,13,5,0,0,6,7,0,2,T1,Attack,0
23,Team Secret,Natus Vincere,Team Secret,Natus Vincere,Icebox,8,13,6,2,0,7,6,0,1,Natus Vincere,Defense,0
23,Team Secret,Natus Vincere,Team Secret,Natus Vincere,Pearl,4,13,3,1,0,4,9,0,2,Team Secret,Attack,0
