Match ID,Team 1,Team 2,Team A,Team B,Map Name,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker
1,KOI,NRG Esports,NRG Esports,KOI,Icebox,11,13,9,2,0,10,3,0,1,KOI,Attack,0,NRG Esports,-2,24,NRG Esports
1,KOI,NRG Esports,NRG Esports,KOI,Haven,9,13,5,4,0,8,5,0,2,NRG Esports,Attack,0,NRG Esports,-4,22,KOI
2,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,Haven,4,13,4,0,0,5,8,0,1,GIANTX,Defense,0,GIANTX,-9,17,DetonatioN FocusMe
2,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,Icebox,7,13,3,4,0,8,5,0,2,DetonatioN FocusMe,Defense,0,GIANTX,-6,20,GIANTX
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,Lotus,6,13,4,2,0,5,8,0,1,Karmine Corp,Defense,0,Karmine Corp,-7,19,FunPlus Phoenix
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,Haven,13,8,7,6,0,6,2,0,2,FunPlus Phoenix,Defense,0,FunPlus Phoenix,5,21,Karmine Corp
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,Pearl,6,13,1,5,0,7,6,0,3,FunPlus Phoenix,Defense,0,Karmine Corp,-7,19,
4,BBL Esports,DRX,DRX,BBL Esports,Pearl,3,13,0,3,0,9,4,0,1,BBL Esports,Defense,0,DRX,-10,16,DRX
4,BBL Esports,DRX,DRX,BBL Esports,Ascent,13,11,4,9,0,3,8,0,2,DRX,Defense,0,BBL Esports,2,24,BBL Esports
4,BBL Esports,DRX,DRX,BBL Esports,Haven,7,13,6,1,0,11,2,0,3,DRX,Attack,0,DRX,-6,20,
