Match ID,Team X,Team Y,Team A,Team B,Map Name,Team X Score,Team Y Score,Team X Attack Rounds,Team X Defense Rounds,Team X Overtime Rounds,Team Y Attack Rounds,Team Y Defense Rounds,Team Y Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker,Team X Halftime Score,Team Y Halftime Score,Halftime Lead
1,NRG Esports,KOI,NRG Esports,KOI,Icebox,13,11,10,3,0,9,2,0,1,KOI,Attack,0,NRG Esports,2,24,NRG Esports,3,9,-6
1,KOI,NRG Esports,NRG Esports,KOI,Haven,9,13,5,4,0,8,5,0,2,NRG Esports,Attack,0,NRG Esports,-4,22,KOI,4,8,-4
2,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,Haven,4,13,4,0,0,5,8,0,1,GIANTX,Defense,0,GIANTX,-9,17,DetonatioN FocusMe,4,8,-4
2,GIANTX,DetonatioN FocusMe,DetonatioN FocusMe,GIANTX,Icebox,13,7,8,5,0,3,4,0,2,DetonatioN FocusMe,Defense,0,GIANTX,6,20,GIANTX,8,4,4
3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,Lotus,6,13,4,2,0,5,8,0,1,Karmine Corp,Defense,0,Karmine Corp,-7,19,FunPlus Phoenix,4,8,-4
3,Karmine Corp,FunPlus Phoenix,FunPlus Phoenix,Karmine Corp,Haven,8,13,6,2,0,7,6,0,2,FunPlus Phoenix,Defense,0,FunPlus Phoenix,-5,21,Karmine Corp,6,6,0
3,Karmine Corp,FunPlus Phoenix,FunPlus Phoenix,Karmine Corp,Pearl,13,6,7,6,0,1,5,0,3,FunPlus Phoenix,Defense,0,Karmine Corp,7,19,,7,5,2
4,DRX,BBL Esports,DRX,BBL Esports,Pearl,13,3,9,4,0,0,3,0,1,BBL Esports,Defense,0,DRX,10,16,DRX,9,3,6
4,BBL Esports,DRX,DRX,BBL Esports,Ascent,13,11,4,9,0,3,8,0,2,DRX,Defense,0,BBL Esports,2,24,BBL Esports,4,8,-4
4,BBL Esports,DRX,DRX,BBL Esports,Haven,7,13,6,1,0,11,2,0,3,DRX,Attack,0,DRX,-6,20,,1,11,-10
5,Paper Rex,Cloud9,Paper Rex,Cloud9,Lotus,8,13,5,3,0,6,7,0,1,Cloud9,Defense,0,Cloud9,-5,21,Paper Rex,5,7,-2
5,Cloud9,Paper Rex,Paper Rex,Cloud9,Pearl,13,4,10,3,0,2,2,0,2,Paper Rex,Defense,0,Cloud9,9,17,Cloud9,10,2,8
6,Evil Geniuses,Team Heretics,Evil Geniuses,Team Heretics,Pearl,13,8,6,7,0,2,6,0,1,Team Heretics,Defense,0,Evil Geniuses,5,21,Evil Geniuses,6,6,0
6,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,Ascent,8,13,5,3,0,6,7,0,2,Evil Geniuses,Defense,0,Evil Geniuses,-5,21,Team Heretics,5,7,-2
7,MIBR,TALON,MIBR,TALON,Haven,8,13,4,4,0,5,8,0,1,TALON,Defense,0,TALON,-5,21,MIBR,4,8,-4
7,TALON,MIBR,MIBR,TALON,Fracture,13,11,6,7,0,5,6,0,2,MIBR,Attack,0,TALON,2,24,TALON,7,5,2
8,LOUD,Gen.G,LOUD,Gen.G,Pearl,13,9,8,5,0,7,2,0,1,Gen.G,Attack,0,LOUD,4,22,LOUD,5,7,-2
8,Gen.G,LOUD,LOUD,Gen.G,Fracture,12,14,8,4,0,8,4,2,2,LOUD,Attack,1,LOUD,-2,26,Gen.G,4,8,-4
9,NRG Esports,GIANTX,NRG Esports,GIANTX,Lotus,12,14,8,4,0,8,4,2,1,GIANTX,Attack,1,GIANTX,-2,26,NRG Esports,4,8,-4
9,GIANTX,NRG Esports,NRG Esports,GIANTX,Haven,1,13,0,1,0,11,2,0,2,NRG Esports,Attack,0,NRG Esports,-12,14,GIANTX,1,11,-10
9,GIANTX,NRG Esports,NRG Esports,GIANTX,Icebox,7,13,3,4,0,4,9,0,3,NRG Esports,Defense,0,NRG Esports,-6,20,,3,9,-6
10,LOUD,Karmine Corp,LOUD,Karmine Corp,Pearl,13,10,8,5,0,6,4,0,1,Karmine Corp,Defense,0,LOUD,3,23,LOUD,8,4,4
10,Karmine Corp,LOUD,LOUD,Karmine Corp,Split,8,13,4,4,0,8,5,0,2,LOUD,Attack,0,LOUD,-5,21,Karmine Corp,4,8,-4
11,Cloud9,DRX,Cloud9,DRX,Pearl,13,3,4,9,0,3,0,0,1,DRX,Attack,0,Cloud9,10,16,Cloud9,9,3,6
11,DRX,Cloud9,Cloud9,DRX,Haven,13,7,9,4,0,4,3,0,2,Cloud9,Defense,0,DRX,6,20,DRX,9,3,6
11,DRX,Cloud9,Cloud9,DRX,Icebox,13,2,11,2,0,1,1,0,3,Cloud9,Defense,0,DRX,11,15,,11,1,10
12,Evil Geniuses,TALON,Evil Geniuses,TALON,Haven,11,13,2,9,0,3,10,0,1,TALON,Attack,0,TALON,-2,24,Evil Geniuses,9,3,6
12,TALON,Evil Geniuses,Evil Geniuses,TALON,Split,13,10,4,9,0,2,8,0,2,Evil Geniuses,Defense,0,TALON,3,23,TALON,4,8,-4
13,NRG Esports,LOUD,NRG Esports,LOUD,Split,3,13,0,3,0,9,4,0,1,LOUD,Attack,0,LOUD,-10,16,NRG Esports,3,9,-6
13,LOUD,NRG Esports,NRG Esports,LOUD,Pearl,13,15,7,5,1,7,5,3,2,NRG Esports,Attack,1,NRG Esports,-2,28,LOUD,5,7,-2
13,LOUD,NRG Esports,NRG Esports,LOUD,Fracture,18,16,7,5,6,7,5,4,3,NRG Esports,Defense,1,LOUD,2,34,,7,5,2
14,TALON,DRX,TALON,DRX,Fracture,13,10,5,8,0,4,6,0,1,DRX,Attack,0,TALON,3,23,TALON,8,4,4
