Match ID,Event,Year,Date,Match Format,Team 1,Team 2,Team A,Team B,Map Veto,Starting Sides,Veto Status
1,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-13 12:10:00,Bo3,KOI,NRG Esports,NRG Esports,KOI,"[{'Team': 'NRG Esports', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'KOI', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'NRG Esports', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KOI', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'NRG Esports', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'KOI', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Pearl'}]",Team 1: Attack; Team 2: Attack,Complete
2,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-13 15:05:00,Bo3,DetonatioN FocusMe,GIANTX,DetonatioN FocusMe,GIANTX,"[{'Team': 'DetonatioN FocusMe', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'GIANTX', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'DetonatioN FocusMe', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'GIANTX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'DetonatioN FocusMe', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GIANTX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Pearl'}]",Team 2: Defense; Team 1: Defense,Complete
3,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-14 12:10:00,Bo3,FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,Karmine Corp,"[{'Team': 'FunPlus Phoenix', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'Karmine Corp', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FunPlus Phoenix', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'Karmine Corp', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'FunPlus Phoenix', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'Karmine Corp', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Pearl'}]",Team 2: Defense; Team 1: Defense; Team 1: Defense & Team 2: Attack,Complete
4,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-14 15:45:00,Bo3,BBL Esports,DRX,DRX,BBL Esports,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'BBL Esports', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'BBL Esports', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'BBL Esports', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]",Team 1: Defense; Team 2: Defense; Team 1: Defense & Team 2: Attack,Complete
5,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-14 19:05:00,Bo3,Cloud9,Paper Rex,Paper Rex,Cloud9,"[{'Team': 'Paper Rex', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'Cloud9', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'Paper Rex', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'Cloud9', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'Paper Rex', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'Cloud9', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Fracture'}]",Team 1: Defense; Team 2: Defense,Complete
6,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-15 12:00:00,Bo3,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,"[{'Team': 'Evil Geniuses', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'Team Heretics', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'Evil Geniuses', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'Team Heretics', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'Evil Geniuses', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'Team Heretics', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]",Team 1: Defense; Team 2: Defense,Complete
7,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-15 14:35:00,Bo3,MIBR,TALON,MIBR,TALON,"[{'Team': 'MIBR', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TALON', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'TALON', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TALON', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 2: Defense; Team 1: Attack,Complete
8,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-15 17:20:00,Bo3,Gen.G,LOUD,LOUD,Gen.G,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'Gen.G', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'Gen.G', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'Gen.G', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",Team 1: Attack; Team 2: Attack,Complete
9,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-17 12:05:00,Bo3,NRG Esports,GIANTX,NRG Esports,GIANTX,"[{'Team': 'NRG Esports', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GIANTX', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'NRG Esports', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GIANTX', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'NRG Esports', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'GIANTX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 2: Attack; Team 1: Attack; Team 1: Defense & Team 2: Attack,Complete
10,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-17 15:35:00,Bo3,LOUD,Karmine Corp,LOUD,Karmine Corp,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'Karmine Corp', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'Karmine Corp', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'Karmine Corp', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Fracture'}]",Team 2: Defense; Team 1: Attack,Complete
