Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Score per Map,Match Durations,Score per Half,Sides Chosen by Non-Picker,Match URL
Valorant Champions 2023,Team Liquid,Natus Vincere,2023-08-06 15:00:00,Bo3,NAVI ban Haven; TL ban Pearl; NAVI pick Fracture; TL pick Bind; NAVI ban Lotus; TL ban Ascent; Split remains,Fracture: 11-13; Bind: 15-17,1:18:55; 1:22:57,"Team 1: 6 / 5, Team 2: 6 / 7; Team 1: 7 / 5 / 3, Team 2: 5 / 7 / 5",Team 1: Attack; Team 2: Defense,https://www.vlr.gg/247100/team-liquid-vs-natus-vincere-valorant-champions-2023-group-stage-opening-d
Valorant Champions 2023,DRX,LOUD,2023-08-06 18:20:00,Bo3,LOUD ban Fracture; DRX ban Bind; LOUD pick Lotus; DRX pick Split; LOUD ban Haven; DRX ban Pearl; Ascent remains,Lotus: 13-15; Split: 13-6; Ascent: 13-8,1:17:19; 47:47; 52:46,"Team 1: 7 / 5 / 1, Team 2: 5 / 7 / 3; Team 1: 5 / 8, Team 2: 2 / 4; Team 1: 5 / 8, Team 2: 4 / 4",Team 1: Attack; Team 2: Attack,https://www.vlr.gg/247101/drx-vs-loud-valorant-champions-2023-group-stage-opening-d
Valorant Champions 2023,FUT Esports,T1,2023-08-07 15:00:00,Bo3,T1 ban Split; FUT ban Fracture; T1 pick Pearl; FUT pick Haven; T1 ban Lotus; FUT ban Bind; Ascent remains,Pearl: 13-4; Haven: 13-7,50:32; 41:49,"Team 1: 4 / 9, Team 2: 1 / 3; Team 1: 6 / 7, Team 2: 2 / 5",Team 1: Defense; Team 2: Attack,https://www.vlr.gg/247087/fut-esports-vs-t1-valorant-champions-2023-group-stage-opening-b
Valorant Champions 2023,Evil Geniuses,FunPlus Phoenix,2023-08-07 17:10:00,Bo3,EG ban Lotus; FPX ban Fracture; EG pick Ascent; FPX pick Pearl; EG ban Haven; FPX ban Split; Bind remains,Ascent: 13-8; Pearl: 13-8,55:48; 47:22,"Team 1: 7 / 6, Team 2: 2 / 6; Team 1: 4 / 9, Team 2: 5 / 3",Team 2: Attack; Team 1: Defense,https://www.vlr.gg/247086/evil-geniuses-vs-funplus-phoenix-valorant-champions-2023-group-stage-opening-b
Valorant Champions 2023,Natus Vincere,DRX,2023-08-07 19:15:00,Bo3,NAVI ban Haven; DRX ban Pearl; NAVI pick Bind; DRX pick Split; NAVI ban Ascent; DRX ban Fracture; Lotus remains,Bind: 13-15; Split: 13-9; Lotus: 12-14,1:17:30; 51:50; 1:03:37,"Team 1: 4 / 8 / 1, Team 2: 8 / 4 / 3; Team 1: 7 / 6, Team 2: 3 / 6; Team 1: 6 / 6 / 0, Team 2: 6 / 6 / 2",Team 2: Attack; Team 1: Defense,https://www.vlr.gg/247102/natus-vincere-vs-drx-valorant-champions-2023-group-stage-winners-d
Valorant Champions 2023,NRG Esports,Bilibili Gaming,2023-08-08 15:00:00,Bo3,BLG ban Haven; NRG ban Ascent; BLG pick Lotus; NRG pick Split; BLG ban Bind; NRG ban Fracture; Pearl remains,Lotus: 12-14; Split: 8-13,1:01:04; 46:45,"Team 1: 7 / 5 / 0, Team 2: 5 / 7 / 2; Team 1: 4 / 4, Team 2: 8 / 5",Team 1: Attack; Team 2: Defense,https://www.vlr.gg/247094/nrg-esports-vs-bilibili-gaming-valorant-champions-2023-group-stage-opening-c
Valorant Champions 2023,FNATIC,ZETA DIVISION,2023-08-08 17:35:00,Bo3,ZETA ban Bind; FNC ban Pearl; ZETA pick Fracture; FNC pick Haven; ZETA ban Ascent; FNC ban Split; Lotus remains,Fracture: 13-5; Haven: 13-6,50:09; 45:05,"Team 1: 8 / 5, Team 2: 4 / 1; Team 1: 7 / 6, Team 2: 5 / 1",Team 1: Attack; Team 2: Defense,https://www.vlr.gg/247093/fnatic-vs-zeta-division-valorant-champions-2023-group-stage-opening-c
Valorant Champions 2023,Evil Geniuses,FUT Esports,2023-08-08 19:40:00,Bo3,EG ban Haven; FUT ban Fracture; EG pick Pearl; FUT pick Bind; EG ban Lotus; FUT ban Split; Ascent remains,Pearl: 15-13; Bind: 13-9,1:13:09; 50:36,"Team 1: 3 / 9 / 3, Team 2: 9 / 3 / 1; Team 1: 7 / 6, Team 2: 3 / 6",Team 2: Attack; Team 1: Defense,https://www.vlr.gg/247088/evil-geniuses-vs-fut-esports-valorant-champions-2023-group-stage-winners-b
Valorant Champions 2023,Paper Rex,KRÜ Esports,2023-08-09 15:00:00,Bo3,KRÜ ban Fracture; PRX ban Haven; KRÜ pick Split; PRX pick Pearl; KRÜ ban Bind; PRX ban Ascent; Lotus remains,Split: 13-7; Pearl: 13-8,58:16; 48:43,"Team 1: 8 / 5, Team 2: 4 / 3; Team 1: 8 / 5, Team 2: 4 / 4",Team 1: Attack; Team 2: Defense,https://www.vlr.gg/247075/paper-rex-vs-kr-esports-valorant-champions-2023-group-stage-opening-a
Valorant Champions 2023,EDward Gaming,Giants Gaming,2023-08-09 17:15:00,Bo3,GIA ban Fracture; EDG ban Lotus; GIA pick Split; EDG pick Bind; GIA ban Haven; EDG ban Pearl; Ascent remains,Split: 13-15; Bind: 13-11; Ascent: 13-8,1:19:18; 55:05; 47:40,"Team 1: 9 / 3 / 1, Team 2: 3 / 9 / 3; Team 1: 6 / 7, Team 2: 6 / 5; Team 1: 7 / 6, Team 2: 5 / 3",Team 1: Defense; Team 2: Defense,https://www.vlr.gg/247076/edward-gaming-vs-giants-gaming-valorant-champions-2023-group-stage-opening-a
